name,country
TPE台北,台灣
HKG香港,香港
LAX洛杉磯,美國
SHA上海,中國
TYO東京,日本
BKK曼谷,泰國
SFO舊金山,美國
MNL馬尼拉,菲律賓
SGN胡志明市,越南
SIN新加坡,新加坡
KHH高雄,台灣
TSA松山,台灣
NYK紐約,美國
SEA西雅圖,美國
BOS波士頓,美國
CHI芝加哥,美國
HNL夏威夷,美國
HOU休斯頓,美國
LAS拉斯維加斯,美國
WAS華盛頓,美國
ROR帛琉,美國
ATL亞特蘭大,美國
DTT底特律,美國
SPN塞班島,美國
NYC紐約,美國
HAN河內,越南
CNX清邁,泰國
HKT普吉島,泰國
PDG巴東,印尼
DPS峇里島,印尼
JKT雅加達,印尼
KLO長灘島,菲律賓
CEB宿霧,菲律賓
MFM澳門,澳門
YOW渥太華,加拿大
YVR溫哥華,加拿大
YYZ多倫多,加拿大
TMQ蒙特婁,加拿大
CAN廣州,中國
CKG重慶,中國
CSX長沙,中國
CTU成都,中國
FOC福州,中國
KWL桂林,中國
NKG南京,中國
PEK北京,中國
HET呼和浩特,中國
SUB泗水,中國
TAO青島,中國
WNZ溫州,中國
XMN廈門,中國
DLC大連,中國
HAK海口,中國
HRB哈爾濱,中國
KMG昆明,中國
SIA西安,中國
SZX深圳,中國
TSN天津,中國
FUK福岡,日本
HIJ廣島,日本
KMO小松,日本
HGH杭州,日本
NGO名古屋,日本
OKA沖繩,日本
KIX關西,日本
SPK札幌,日本
IST伊斯坦堡,土耳其
CPH哥本哈根,丹麥
SAO聖保羅,巴西
PTY巴拿馬,巴拿馬
BRU布魯塞爾,比利時
HAV哈瓦那,古巴
KTM加得滿都,尼泊爾
BUD布達佩斯,匈牙利
BOM孟買,印度
DEL新得里,印度
BCN巴塞隆納,西班牙
MAD馬德里,西班牙
ATH雅典,希臘
DXB杜拜,杜拜
BWN汶來,汶來
NCE尼斯,法國
PAR巴黎,法國
WAW華沙,波蘭
HEL赫爾章基,芬蘭
BUE布宜諾艾利斯,阿根廷
PNH金邊,柬埔寨
LON倫敦,英國
BHX伯明翰,英國
MAN曼徹斯特,英國
SOF索非亞,哥倫比亞
CAI開羅,埃及
OSL奧斯陸,挪威
AKL奧克蘭,紐西蘭
CHC基督城,紐西蘭
WLG威靈頓,紐西蘭
BKI亞庇,馬來西亞
PEN檳城,馬來西亞
KUL吉隆坡,馬來西亞
IPH怡保,馬來西亞
LGK蘭卡威,馬來西亞
AMS阿姆斯特丹,荷蘭
CMB可倫坡,斯里蘭卡
SCL聖地牙哥,智利
VIE維也納,奧地利
GVA日內瓦,瑞士
ZRH蘇黎世,瑞士
STO斯德哥爾摩,瑞典
GOT哥得堡,瑞典
MIL米蘭,義大利
ROM羅馬,義大利
VCE威尼斯,義大利
LIS里斯本,葡萄牙
MEX墨西哥,墨西哥
FRA法蘭克福,德國
BER柏林,德國
MUC幕尼黑,德國
HAJ滿諾威,德國
HAM漢堡,德國
STR斯圖加特,德國
RGN仰光,緬甸
DRW達爾文,澳大利亞
CNS凱恩斯,澳大利亞
MEL墨爾本,澳大利亞
BNE布里斯本,澳大利亞
CBR坎培拉,澳大利亞
PER伯斯,澳大利亞
SYD雪梨,澳大利亞
PUS釜山,韓國
CJU濟州島,韓國
ICN首爾,韓國
GUM關島,關島
其他,其他
