name,use,name_en,name_ch
A00,0,Cholera,霍亂
A00.0,1,"Cholera due to Vibrio cholerae 01, biovar cholerae",血清型01 cholerae霍亂弧菌所致之霍亂
A00.1,1,"Cholera due to Vibrio cholerae 01, biovar eltor",血清型01 eltor霍亂弧菌所致之霍亂
A00.9,1,"Cholera, unspecified",霍亂
A01,0,Typhoid and paratyphoid fevers,傷寒及副傷寒
A01.0,0,Typhoid fever,傷寒
A01.00,1,"Typhoid fever, unspecified",傷寒
A01.01,1,Typhoid meningitis,傷寒腦膜炎
A01.02,1,Typhoid fever with heart involvement,傷寒伴有侵及心臟
A01.03,1,Typhoid pneumonia,傷寒肺炎
A01.04,1,Typhoid arthritis,傷寒關節炎
A01.05,1,Typhoid osteomyelitis,傷寒骨髓炎
A01.09,1,Typhoid fever with other complications,傷寒熱伴有其他併發症
A01.1,1,Paratyphoid fever A,A型副傷寒
A01.2,1,Paratyphoid fever B,B型副傷寒
A01.3,1,Paratyphoid fever C,C型副傷寒
A01.4,1,"Paratyphoid fever, unspecified",副傷寒
A02,0,Other salmonella infections,其他沙門感染
A02.0,1,Salmonella enteritis,沙門桿菌腸炎
A02.1,1,Salmonella sepsis,沙門桿菌敗血症
A02.2,0,Localized salmonella infections,局部沙門感染
A02.20,1,"Localized salmonella infection, unspecified",局部沙門桿菌感染
A02.21,1,Salmonella meningitis,沙門桿菌腦膜炎
A02.22,1,Salmonella pneumonia,沙門桿菌肺炎
A02.23,1,Salmonella arthritis,沙門桿菌關節炎
A02.24,1,Salmonella osteomyelitis,沙門桿菌骨髓炎
A02.25,1,Salmonella pyelonephritis,沙門桿菌腎盂腎炎
A02.29,1,Salmonella with other localized infection,沙門桿菌伴有其他局部感染
A02.8,1,Other specified salmonella infections,其他特定之沙門桿菌感染
A02.9,1,"Salmonella infection, unspecified",沙門桿菌感染
A03,0,Shigellosis,志賀桿菌病
A03.0,1,Shigellosis due to Shigella dysenteriae,痢疾性志賀桿菌所致之志賀桿菌病
A03.1,1,Shigellosis due to Shigella flexneri,副痢疾桿菌所致之志賀桿菌病
A03.2,1,Shigellosis due to Shigella boydii,痢疾桿菌所致之志賀桿菌病
A03.3,1,Shigellosis due to Shigella sonnei,宋內氏桿菌所致之志賀桿菌病
A03.8,1,Other shigellosis,其他志賀桿菌病
A03.9,1,"Shigellosis, unspecified",志賀桿菌病
